expression,occurrences_charcot,ppm_charcot,tokens_charcot,occurrences_autres,ppm_autres,tokens_autres,diff_ppm_charcot_moins_autres,ratio_charcot_autres
hystérie,5808,514.5859603088365,11286744,4649,368.0235725074913,12632343,146.56238780134527,1.398211842845975
épilepsie,5695,504.5742155576489,11286744,3264,258.38437097536064,12632343,246.1898445822883,1.952677031578161
tremblement,2605,230.80172634375333,11286744,2467,195.2923539204089,12632343,35.509372423344416,1.1818140554703862
aphasie,1611,142.73381233773,11286744,929,73.54138499880821,12632343,69.19242733892179,1.9404218234046122
chorée,1580,139.9872274944838,11286744,1007,79.71601151108705,12632343,60.27121598339674,1.7557580973063025
hypnose,384,34.02221225182391,11286744,2058,162.91514567012626,12632343,-128.89293341830236,0.2090550714066513
tabès dorsalis,382,33.845013229679,11286744,144,11.399310484207085,12632343,22.445702745471912,2.9626396239694985
paralysie agitante,333,29.503637187128547,11286744,161,12.745062416370423,12632343,16.758574770758123,2.3112054142545686
fugue,323,28.617642076403964,11286744,207,16.386508821047684,12632343,12.23113325535628,1.7449035193595994
sclérose latérale amyotrophique,290,25.69385821101285,11286744,87,6.887083417541782,12632343,18.806774793471067,3.715808452818634
localisation cérébrale,288,25.51665918886793,11286744,66,5.224683971928248,12632343,20.291975216939683,4.8555609142049825
atrophie musculaire progressive,267,23.656069456346312,11286744,193,15.278242523971997,12632343,8.377826932374315,1.5472413080679066
athétose,214,18.96029536950603,11286744,420,33.24798891227067,12632343,-14.28769354276464,0.5709216746626914
clonus,180,15.947911993042457,11286744,205,16.228185064322588,12632343,-0.28027307128013135,0.9830613339984219
ataxie locomotrice progressive,152,13.46712568301363,11286744,17,1.3457519321633364,12632343,12.121373750850294,9.7531977462107
migraine ophtalmique,136,12.049533505854301,11286744,29,2.295694472513927,12632343,9.753839033340373,5.178761015006571
anévrisme miliaire,130,11.517936439419554,11286744,1,0.07916187836254922,12632343,11.438774561057004,97.3720889744642
tic convulsif,106,9.391548173680558,11286744,71,5.620493363740994,12632343,3.7710548099395638,1.6670890564714151
astasie-abasie,105,9.3029486626081,11286744,51,4.03725579649001,12632343,5.265692866118091,2.2927698664894485
maladie de Parkinson,87,7.708157463303855,11286744,144,11.399310484207085,12632343,-3.69115302090323,0.6777280185551142
tabès dorsalis spasmodique,59,5.227371153275027,11286744,33,2.612341985964124,12632343,2.615029167310903,1.9878673165141945
bulbe rachidien,48,4.252776531477989,11286744,105,8.311997228067668,12632343,-4.059220696589679,0.5145226687652137
pachyméningite cervicale hypertrophique,48,4.252776531477989,11286744,23,1.8207232023386317,12632343,2.432053329139357,2.3098783640310656
sclérose en plaques disséminées,45,3.986977998260614,11286744,10,0.7916187836254921,12632343,3.195359214635122,4.84995079183155
méthode anatomo-clinique,44,3.8983784871881557,11286744,10,0.7916187836254921,12632343,3.1067597035626635,4.7433584667363515
coupe verticale,43,3.809778976115698,11286744,141,11.161824849119439,12632343,-7.352045873003741,0.3440709857754919
arthropathie tabétique,33,2.9237838653911172,11286744,136,10.766015457306692,12632343,-7.842231591915574,0.2746802223607049
glossy skin,8,0.7087960885796648,11286744,5,0.39580939181274605,12632343,0.31298669676691876,1.7297027299539096
thrombose de l'artère cérébrale postérieure,4,0.3543980442898324,11286744,6,0.4749712701752953,12632343,-0.12057322588546288,0.7748442093458691
maladie de Gilles de la Tourette,3,0.2657985332173743,11286744,3,0.23748563508764764,12632343,0.02831289812972665,1.1192194134995885
syndrome de Parkinson,2,0.1771990221449162,11286744,0,0.0,12632343,0.1771990221449162,5.596097067497943
systématisation de la moelle,2,0.1771990221449162,11286744,3,0.23748563508764764,12632343,-0.06028661294273144,0.7994424382139917
syndrome de Gilles de la Tourette,0,0.0,11286744,1,0.07916187836254922,12632343,-0.07916187836254922,0.3730731378331962
